word,freq
kuku,5
kulang,5
kulung,5
kurti,5
labhag,5
lag-ab,5
lakad,5
laktud,5
lamuk,5
landung,5
langas,5
lanut,5
lapak,5
lapus,5
larut,5
layag,5
layaw,5
layug,5
libug,5
libun,5
liga,5
ligid,5
limbu,5
limus,5
linaw,5
linga,5
liput,5
liskug,5
listun,5
litsi,5
lius,5
liwat,5
lubug,5
lugit,5
luka,5
lukut,5
luta,5
luwa,5
lyamar,5
malisya,5
mantala,5
maut,5
minur,5
minus,5
nada,5
nganga,5
ngilit,5
nipis,5
numri,5
nyus,5
paga,5
pagu,5
pahut,5
pait,5
paka,5
palapala,5
palid,5
palit,5
paliyu,5
palut,5
panday,5
partida,5
pasa,5
pasakayli,5
paskin,5
paspas,5
patas,5
patik,5
pig-it,5
piit,5
pisti,5
piting,5
pug-uk,5
pulug,5
pulung,5
puntu,5
purmal,5
pute,5
rimatsi,5
ripitir,5
sabad,5
sabaw,5
sagad,5
sahi,5
sakat,5
salida,5
samuk,5
sangkad,5
sapi,5
sigu,5
siku,5
sikwati,5
simintu,5
sinyura,5
siut,5
subang,5
subu,5
sugu,5
sugut,5
sukud,5
sulaw,5
sulay,5
sulug,5
sunud,5
suput,5
taas,5
tabas,5
tagay,5
tahas,5
takaba,5
taktak,5
takus,5
talay,5
taluktuk,5
tam-ak,5
tami,5
tan-aw,5
tandug,5
tanga,5
tangka,5
tapa,5
tapal,5
tapi,5
tapun,5
tapus,5
targit,5
tarug,5
tawid,5
taya,5
tayming,5
tiaw,5
tibi,5
tibuuk,5
tigni,5
tika,5
tikup,5
tima,5
timbang,5
timpla,5
tin-aw,5
tingug,5
tipak,5
tira,5
trabisiya,5
tuba,5
tubig,5
tudlu,5
tuga,5
tugbang,5
tugnaw,5
tuhug,5
tukma,5
tukuy,5
tula,5
tuman,5
tuwang,5
ubu,5
ukyab,5
wangsi,5
witing,5
yabag,5
abir,4
abirids,4
abrap,4
abunda,4
abung,4
abyirtu,4
ada,4
adbans,4
agap,4
agit-it,4
agub-ub,4
ahaw,4
al-al,4
alarma,4
alat,4
alayun,4
alingasa,4
aliputu,4
alkuba,4
alum-um,4
alundris,4
alung,4
alyadu,4
ambi,4
ambungan,4
amgid,4
ampu,4
anaa,4
anagu,4
ang,4
angkun,4
angut,4
anhi,4
antimanu,4
apay,4
aprubadu,4
apug,4
arang,4
ari,4
ariba,4
arigladu,4
arku,4
atang,4
atay-atay,4
atsal,4
atsay,4
atumatik,4
atup,4
awturidad,4
awut,4
ayis,4
ayri,4
badlipanis,4
bagamundu,4
bagnut,4
bagu,4
baha,4
bahad,4
bahada,4
bahugbahug,4
baka,4
baksiwa,4
bakul,4
balag-ung,4
balandra,4
balanus,4
balatik,4
balaud,4
balay,4
balbas,4
balibad,4
baligtus,4
balikbalik,4
balinsiyana,4
balirung,4
balisung,4
balituk,4
baliyug,4
bamir,4
banabana,4
banawug,4
bandira,4
bangan,4
bangas,4
bangkilya,4
bangkiru,4
banha,4
banhig,4
bantuk,4
banwa,4
bar,4
barat,4
basbas,4
baska,4
baskit,4
bastus,4
basura,4
batalya,4
batanggas,4
batud,4
batus,4
batyag,4
bayad,4
bayayat,4
baylu,4
bayung,4
bayungad,4
bayut,4
bi,4
bibi,4
biding,4
biku,4
bilada,4
bilar,4
bilas,4
bindisiyun,4
binggu,4
bisaya,4
bisi,4
bispiras,4
bisti,4
bistu,4
blatir,4
brutsa,4
buaya,4
bubung,4
budyung,4
bugas,4
bugaw,4
bugha,4
buhaha,4
bukag,4
bukiskis,4
buknul,4
bukul,4
bulang,4
buldug,4
bulhug,4
bulhut,4
buliru,4
bul-ug,4
bunga,4
bungdul,4
bunggu,4
bungsud,4
bungug,4
buntug,4
bunyag,4
buru,4
burung,4
busu,4
bus-uk,4
butakal,4
butas,4
butung,4
buug,4
buya,4
buysit,4
buy-un,4
byahi,4
daan,4
dagaang,4
dagabdab,4
dagang,4
daginut,4
dagul,4
dagundun,4
dagut,4
dahut,4
dalag,4
dalaga,4
dan-ag,4
dangat,4
dapal,4
dapla,4
daplak,4
daru,4
das-ug,4
daub,4
dawun,4
dibilap,4
diga,4
dilikadu,4
dimunyu,4
dingding,4
diniru,4
dipara,4
dipindir,4
disgrasya,4
diskansu,4
diskuwintu,4
dispatsar,4
dispinsa,4
diyakunu,4
diyaryu,4
diyu,4
drama,4
drayib,4
dru,4
dubuk,4
duda,4
duga,4
dugay,4
dughan,4
dugmuk,4
duhal,4
duktur,4
dulang,4
dumdum,4
dungluy,4
dunluk,4
dupa,4
duyan,4
duyas,4
duyug,4
dyak,4
dyakpat,4
gabuk,4
galam,4
galun,4
gangis,4
gansu,4
garahi,4
garanil,4
garantiya,4
garing,4
gasli,4
gaspang,4
gastadu,4
gasulina,4
gim,4
ginhawaan,4
gin-ut,4
gipang,4
granu,4
grawun,4
guba,4
gubat,4
guhay,4
gulis,4
gungi,4
gutay,4
guut,4
guyud,4
ha,4
habuk,4
hagba,4
hagdan,4
hagkut,4
hagtuk,4
hagulhul,4
hain,4
hakup,4
hakut,4
haligi,4
hamun,4
handul,4
hangkub,4
hapit,4
harus,4
hatag,4
hatay,4
hilu,4
himan,4
himi,4
hugaw,4
huka,4
hustis,4
hutay,4
huygu,4
ibut,4
idad,4
idlas,4
idyap,4
igit,4
ignuranti,4
igwalis,4
ihalas,4
iksibisiyun,4
ikstinsiyun,4
ikstra,4
iliw,4
inay,4
insalada,4
intiris,4
iru,4
isi,4
iskapu,4
iskrima,4
iskuwir,4
islayid,4
ispat,4
ispiking,4
ispiling,4
ispurt,4
istanti,4
istrayik,4
isug,4
isyu,4
iti,4
itik,4
kabuhi,4
kagas,4
kalis,4
kapi,4
kapital,4
karambula,4
karul,4
katir,4
katsir,4
kayankayan,4
kibul,4
kingki,4
kinta,4
kulba,4
kuli,4
kulun,4
kumidiya,4
kumu,4
kurta,4
kuruna,4
kurus,4
kutu,4
laang,4
laas,4
labad,4
labak,4
labang,4
lab-as,4
lablab,4
labun,4
labung,4
labut,4
ladlad,4
lagda,4
lagduk,4
lag-it,4
laglag,4
lagut,4
lak-ang,4
lakbit,4
lakra,4
lama,4
lamanu,4
lambu,4
lamisa,4
lampaag,4
lamuy,4
lana,4
lanag,4
lanay,4
langan,4
langaw,4
langi,4
langit,4
langkat,4
langu,4
langyaw,4
lansang,4
lapad,4
lapi,4
larga,4
largu,4
lasa,4
lastiku,4
lastrip,4
latay,4
layu,4
liba,4
libat,4
libiral,4
libud,4
ligpit,4
lig-un,4
lihi,4
liksiyun,4
likud,4
likuliku,4
lilu,4
lina,4
lingat,4
lingkud,4
linis,4
lipat,4
lista,4
lisu,4
litaniya,4
lubad,4
lub-ang,4
lubung,4
lugak,4
lugas,4
lugsung,4
lugus,4
luhud,4
lukun,4
luma,4
lumay,4
lumus,4
lumuy,4
tibul,4
lungas,4
lungay,4
lunggung,4
lunhaw,4
lunud,4
lupa,4
lupak,4
lupug,4
luput,4
luray,4
lusa,4
luslus,4
lusuk,4
lutas,4
luti,4
lut-ud,4
lutup,4
luun,4
luwat,4
luya,4
luyat,4
luyu,4
mabaw,4
mabdus,4
madyik,4
maistru,4
makina,4
makinilya,4
mala,4
mama,4
man,4
manuk,4
manya,4
matirniti,4
matutu,4
mihuras,4
misiyun,4
muldi,4
nana,4
natural,4
naturalisa,4
naug,4
nawnaw,4
ngalan,4
ngisi,4
ngitungitu,4
nigusyu,4
nurmal,4
nyutral,4
pabilu,4
pabrika,4
pading,4
paghut,4
pagka,4
pakas,4
pakgut,4
pakluy,4
pakyaw,4
pal,4
palagpag,4
palatun,4
palispis,4
paliyar,4
palta,4
paltik,4
palu,4
pamilya,4
panalangin,4
panaw,4
panid,4
papil,4
par,4
parada,4
paras,4
partikular,4
parul,4
parula,4
paryinti,4
pas,4
pasakpasak,4
pasku,4
pasmu,4
pastilan,4
pastr,4
patakpatak,4
patid,4
pat-ul,4
paw-ang,4
pay-ut,4
piang,4
pihar,4
pihaw,4
pihig,4
pika,4
pikit,4
pilaw,4
pilhuk,4
pilit,4
piluk,4
pinta,4
pintal,4
pintul,4
pintur,4
pinu,4
pitak,4
pitik,4
pitpit,4
pitsipitsi,4
pit-us,4
piyung,4
prinsipal,4
pudlus,4
puhunan,4
puli,4
punggit,4
pungku,4
punta,4
pupu,4
puspus,4
putak,4
putut,4
puuk,4
puut,4
puypuy,4
pyur,4
rakit,4
rikurd,4
ripurt,4
rispitar,4
rumbu,4
sa,4
sabun,4
sabut,4
sagapsap,4
sagukum,4
sagul,4
sakbang,4
sakbit,4
saksak,4
sal-ang,4
salibu,4
salig,4
salin,4
salisi,4
sal-ut,4
sama,4
samba,4
sambug,4
sanaw,4
sanggi,4
sangu,4
santus,4
sapnay,4
saput,4
sarap,4
saup,4
sibu,4
siga,4
silib,4
silit,4
simana,4
simba,4
sinati,4
singut,4
sini,4
sinsilyu,4
sintinsiya,4
sipa,4
sipat,4
sip-un,4
sipyat,4
sirku,4
subad,4
subli,4
sugbu,4
suhid,4
suhut,4
suka,4
sukad,4
sukut,4
sulikat,4
sulu,4
sulup,4
sumad,4
sumbung,4
sumitir,4
sungi,4
supak,4
supla,4
supurtr,4
sura,4
susi,4
sustinir,4
susut,4
susyu,4
suud,4
suuk,4
suul,4
suyup,4
tabi,4
tabid,4
tabu,4
tabun,4
tagaktagak,4
tagik,4
tagimtim,4
tagulilung,4
taguntun,4
tahu,4
takba,4
takda,4
takdu,4
takna,4
taksi,4
takud,4
tak-up,4
talikud,4
tamparus,4
tampi,4
tampu,4
tamud,4
tapad,4
tapak,4
tapat,4
tapiun,4
tapwak,4
tara,4
tataw,4
taud,4
tawag,4
taytay,4
tibhang,4
tigas,4
tigi,4
tigkul,4
tigpud,4
tiil,4
tikug,4
tik-up,4
tila,4
tiligrama,4
tilun,4
timayud,4
timbri,4
tindug,4
tingkagul,4
tingub,4
tinu,4
tip,4
tipu,4
tipun,4
tirnu,4
tisis,4
tiunay,4
tiwas,4
trabahadur,4
trapik,4
trin,4
tris,4
tsans,4
tubagtubag,4
tubas,4
tubigtubig,4
tubli,4
tuda,4
tugalhab,4
tugpu,4
tugut,4
tuhab,4
tuhud,4
tuka,4
tukag,4
tukar,4
tuki,4
tulak,4
tul-id,4
tulpuk,4
tumbatumba,4
tumbuk,4
tumbuy,4
tun-as,4
tungha,4
tungtung,4
tunhay,4
tunuk,4
turnilyu,4
turniyu,4
turnu,4
tutuy,4
tuu,4
ubra,4
ug-ug,4
uhas,4
uhut,4
ukyut,4
ungad,4
un-un,4
wadwad,4
wakli,4
yati,4
yawa,4
ab-ab,3
abaga,3
abat-abat,3
abhak,3
abilyana,3
abin,3
abintura,3
abiriya,3
abisu,3
abla,3
abladu,3
abril,3
abu,3
abugadu,3
abusar,3
admisiyun,3
agad-ad,3
agalun,3
aghuy,3
aginud,3
agitung,3
agtang,3
aguhilya,3
agung-ung,3
aguy,3
ahag,3
ahas,3
ahinsiya,3
aksidinti,3
aksiyun,3
akud,3
akulitu,3
ala,3
alamag,3
alangaang,3
alaw,3
alawans,3
album,3
alhu,3
alibangbang,3
alibyu,3
aligi,3
alig-ig,3
aligutgut,3
aliluya,3
alimbukad,3
alimukaw,3
alingasu,3
alip-ip,3
alirung,3
alkuntra,3
almanaki,3
almirul,3
altu,3
alula,3
alup,3
amagus,3
amang,3
amanus,3
amat,3
amatyur,3
ambulansiya,3
ambus,3
amigu,3
amin,3
amindar,3
amirikana,3
ampiyun,3
amu,3
amurtisasyun,3
amut,3
amuy,3
anak,3
anawnsir,3
andar,3
ang-ang,3
angat,3
anggal,3
angka,3
anha,3
ani,3
aninaw,3
anti,3
anud,3
apan,3
apayud,3
apil,3
apisiyun,3
apu,3
apud,3
apul,3
apupa,3
apustul,3
apyug,3
arangka,3
aranya,3
aranyas,3
aras,3
arat,3
ariyus,3
arnis,3
arun,3
aruwaka,3
asi,3
asiasi,3
asikasu,3
aslum,3
asukar,3
asusinas,3
asyinda,3
at-at,3
atraka,3
atril,3
atsa,3
atul,3
awa,3
awang,3
awas,3
awat,3
awit,3
awrura,3
awtlit,3
awug,3
awutsayid,3
aybru,3
ayum,3
ayum-ayum,3
ayun,3
baag,3
babag,3
babuybabuy,3
badigard,3
badingding,3
badyung,3
bagaang,3
bag-ang,3
bagduk,3
baghut,3
bagis,3
bagtik,3
bagudlus,3
bagun,3
bagyu,3
bahadu,3
bahan,3
bahay,3
bakang,3
bakhaw,3
baking,3
baksing,3
baktin,3
bakud,3
balala,3
balantak,3
balas,3
balda,3
baldi,3
balhas,3
balhin,3
balhun,3
balibul,3
balidikturyan,3
baligtad,3
baligwat,3
baliku,3
balingag,3
balinsay,3
balisbisan,3
balising,3
balubalu,3
balug,3
baluk,3
baluktut,3
banaag,3
banagbanag,3
bandiha,3
banduriya,3
banggiitan,3
banggun,3
bangingi,3
bangkiwag,3
bang-ug,3
banig,3
banika,3
banlut,3
bansa,3
bansay,3
bantaaw,3
banting,3
